# Results for prop be50_340mm_pit:
# Water density was 1025.0 kg*m^-3
V,RPM,T,Q,pwr,eff,J,dist_file
3.500,500.0,170.458,16.481,862.960,0.69134,0.393,sweepvrpm_dist_153.out
3.750,500.0,179.931,17.736,928.661,0.72658,0.421,sweepvrpm_dist_154.out
4.000,500.0,183.700,18.662,977.161,0.75197,0.449,sweepvrpm_dist_155.out
4.250,500.0,182.735,19.148,1002.605,0.77461,0.477,sweepvrpm_dist_156.out
4.500,500.0,177.423,19.204,1005.533,0.79401,0.506,sweepvrpm_dist_157.out
4.750,500.0,169.395,18.969,993.217,0.81012,0.534,sweepvrpm_dist_158.out
5.000,500.0,160.389,18.557,971.663,0.82533,0.562,sweepvrpm_dist_159.out
5.250,500.0,150.908,18.029,944.008,0.83926,0.590,sweepvrpm_dist_160.out
5.500,500.0,141.121,17.400,911.047,0.85195,0.618,sweepvrpm_dist_161.out
5.750,500.0,130.933,16.658,872.185,0.86320,0.646,sweepvrpm_dist_162.out
6.000,500.0,120.095,15.770,825.722,0.87266,0.674,sweepvrpm_dist_163.out
6.250,500.0,108.453,14.712,770.301,0.87996,0.702,sweepvrpm_dist_164.out
6.500,500.0,96.007,13.472,705.373,0.88470,0.730,sweepvrpm_dist_165.out
6.750,500.0,82.694,12.030,629.869,0.88619,0.758,sweepvrpm_dist_166.out
7.000,500.0,69.254,10.554,552.580,0.87730,0.786,sweepvrpm_dist_167.out
